date,min,max,pm25,q1,q3,stdev,count
2020-03-06T00:00:00.000Z,0.2,3.05,0.57,0.42,1.2,0.574,564
2020-03-07T00:00:00.000Z,0.2,4.8,0.8,0.5,2.29,1.195,574
2020-03-08T00:00:00.000Z,0.34,12.25,3.33,1.12,5.23,2.769,575
2020-03-09T00:00:00.000Z,0.55,4.94,1.57,1.32,1.82,0.456,568
2020-03-10T00:00:00.000Z,0.26,2.74,1.06,0.7,1.27,0.397,573
2020-03-11T00:00:00.000Z,0,2.85,0.65,0.44,1.18,0.539,576
2020-03-12T00:00:00.000Z,0.05,13.6,0.78,0.3,1.1,0.798,509
2020-03-13T00:00:00.000Z,0,1.02,0.15,0.1,0.24,0.206,536
2020-03-14T00:00:00.000Z,0,1,0.2,0.14,0.32,0.17,542
2020-03-15T00:00:00.000Z,0.2,3.85,0.84,0.55,1.38,0.814,287
2020-03-16T00:00:00.000Z,0,15.9,0.45,0.25,1.48,1.533,576
2020-03-17T00:00:00.000Z,0.35,2.88,1.62,1.08,1.9,0.545,575
2020-03-18T00:00:00.000Z,0,2.8,0.26,0.15,0.6,0.562,513
2020-03-19T00:00:00.000Z,0.2,14.3,0.7,0.53,0.98,1.075,564
2020-03-20T00:00:00.000Z,0,2.78,0.22,0.15,0.36,0.244,482
2020-03-21T00:00:00.000Z,0.05,1.6,0.34,0.2,0.54,0.253,492
2020-03-22T00:00:00.000Z,0.15,1.67,0.43,0.35,0.6,0.251,474
2020-03-23T00:00:00.000Z,0.3,2.18,0.85,0.73,1.32,0.429,469
2020-03-24T00:00:00.000Z,1.17,4.55,2.87,2.42,3.21,0.601,473
2020-03-25T00:00:00.000Z,3.33,6.58,5.26,4.8,5.64,0.643,457
2020-03-26T00:00:00.000Z,1.44,7.9,4.65,3.3,5.08,1.299,443
2020-03-27T00:00:00.000Z,4.28,12.52,7.28,6.57,8,1.647,400
2020-03-28T00:00:00.000Z,0,0.6,0.2,0.14,0.25,0.095,186
2020-03-29T00:00:00.000Z,0,2.34,0.2,0.14,0.26,0.259,352
2020-03-30T00:00:00.000Z,0.05,16.3,0.4,0.3,0.69,2.715,137
2020-03-31T00:00:00.000Z,0,0.93,0.36,0.25,0.48,0.163,319
2020-04-01T00:00:00.000Z,0.1,1,0.35,0.25,0.48,0.173,210
2020-04-02T00:00:00.000Z,0,2.17,0.8,0.2,1.27,0.57,451
2020-04-03T00:00:00.000Z,0,1.1,0.12,0.05,0.2,0.115,476
2020-04-04T00:00:00.000Z,0,6.68,0.3,0.2,0.46,0.838,528
2020-04-05T00:00:00.000Z,0.44,9.35,1.72,1.27,2.95,2.011,537
2020-04-06T00:00:00.000Z,1,7.32,2.81,1.39,3.6,1.213,494
2020-04-07T00:00:00.000Z,0.28,17.96,1.06,0.78,5.15,4.8,438
2020-04-08T00:00:00.000Z,0.52,3.28,1.35,1.06,1.6,0.49,479
2020-04-09T00:00:00.000Z,0.02,9.03,0.28,0.2,0.4,0.539,467
2020-04-10T00:00:00.000Z,0,2.7,0.35,0.17,0.55,0.507,522
2020-04-11T00:00:00.000Z,0.53,7.18,1.32,0.95,3.7,2.18,155
2020-04-12T00:00:00.000Z,0,7.3,0.66,0.19,3.54,2.18,581
2020-04-13T00:00:00.000Z,0,0.46,0.16,0.1,0.23,0.092,576
2020-04-14T00:00:00.000Z,0,0.95,0.26,0.19,0.38,0.165,562
2020-04-15T00:00:00.000Z,0,3.84,0.15,0,0.38,0.389,523
2020-04-16T00:00:00.000Z,0,0.94,0.25,0.16,0.35,0.175,515
2020-04-17T00:00:00.000Z,0,0.6,0.23,0.1,0.32,0.137,570
2020-04-18T00:00:00.000Z,0.12,0.92,0.39,0.3,0.5,0.146,583
2020-04-19T00:00:00.000Z,0,13.02,0.3,0.15,0.4,0.875,556
2020-04-20T00:00:00.000Z,0.05,6.4,0.25,0.18,0.32,0.427,510
2020-04-21T00:00:00.000Z,0.3,1.11,0.68,0.6,0.75,0.135,371
2020-04-22T00:00:00.000Z,0.4,1.56,0.7,0.57,1,0.265,420
2020-04-23T00:00:00.000Z,0.2,1.45,0.6,0.5,0.88,0.26,483
2020-04-24T00:00:00.000Z,0,0.97,0.1,0.05,0.41,0.265,541
2020-04-25T00:00:00.000Z,0,22.08,0.1,0.05,0.2,1.273,510
2020-04-26T00:00:00.000Z,0,4.5,0.35,0.13,0.5,0.458,553
2020-04-27T00:00:00.000Z,0.25,3.35,1.44,0.8,1.9,0.787,530
2020-04-28T00:00:00.000Z,0,1.2,0.7,0.56,0.86,0.295,401
2020-04-29T00:00:00.000Z,0.2,1.5,0.5,0.42,0.74,0.29,510
2020-04-30T00:00:00.000Z,0.55,3.28,1,0.85,1.3,0.641,533
2020-05-01T00:00:00.000Z,1.21,5.9,2.29,1.95,3.4,1.196,553
2020-05-02T00:00:00.000Z,0.57,3.95,1.25,0.97,2.66,0.949,541
2020-05-03T00:00:00.000Z,0,3.32,0.2,0.1,1.03,0.835,569
2020-05-04T00:00:00.000Z,0,1.55,0.26,0.15,0.4,0.198,524
2020-05-05T00:00:00.000Z,0,0.5,0.16,0.14,0.22,0.077,492
2020-05-06T00:00:00.000Z,0.1,1.44,0.4,0.25,0.66,0.261,585
2020-05-07T00:00:00.000Z,0.15,2.25,0.64,0.52,0.76,0.268,388
2020-05-08T00:00:00.000Z,0.1,4.97,1.23,0.4,2.06,1.263,351
2020-05-09T00:00:00.000Z,0,1.46,0.4,0.26,0.75,0.3,339
2020-05-10T00:00:00.000Z,0,3.22,1.3,0.15,1.87,0.861,245
2020-05-11T00:00:00.000Z,0.05,0.52,0.27,0.2,0.35,0.106,152
2020-05-14T00:00:00.000Z,0.15,1.23,0.53,0.39,0.65,0.183,121
2020-05-15T00:00:00.000Z,0,2.12,0.27,0.16,0.9,0.451,531
2020-05-16T00:00:00.000Z,0.05,0.9,0.35,0.25,0.55,0.191,323
2020-05-17T00:00:00.000Z,0,0.55,0.1,0.05,0.14,0.071,534
2020-05-18T00:00:00.000Z,0,0.7,0.06,0,0.15,0.126,466
2020-05-19T00:00:00.000Z,0.05,0.7,0.26,0.18,0.37,0.134,543
2020-05-20T00:00:00.000Z,0.05,0.66,0.3,0.2,0.4,0.125,548
2020-05-21T00:00:00.000Z,0.25,1.12,0.55,0.5,0.63,0.116,515
2020-05-22T00:00:00.000Z,0.5,1.8,0.95,0.8,1.05,0.226,538
2020-05-23T00:00:00.000Z,1.2,4.43,2.5,2,2.77,0.578,509
2020-05-24T00:00:00.000Z,0.6,5.9,1.9,1.4,2.67,0.798,534
2020-05-25T00:00:00.000Z,0.3,3.8,1.1,0.7,2.31,1.03,544
2020-05-26T00:00:00.000Z,0.2,3.9,1.43,0.8,1.9,0.794,496
2020-05-27T00:00:00.000Z,0.1,5.09,0.5,0.3,2.76,1.566,517
2020-05-28T00:00:00.000Z,0.1,105.8,0.5,0.37,0.8,6.939,538
2020-05-29T00:00:00.000Z,0.3,23.77,0.6,0.5,0.9,1.649,537
2020-05-30T00:00:00.000Z,0.1,1.5,0.4,0.3,0.6,0.218,562
2020-05-31T00:00:00.000Z,0,1.27,0.3,0.18,0.4,0.193,497
2020-06-01T00:00:00.000Z,0.2,1.17,0.5,0.4,0.6,0.162,491
2020-06-02T00:00:00.000Z,0.1,2,0.52,0.4,0.7,0.272,528
2020-06-03T00:00:00.000Z,0.3,3.1,1.37,1,1.7,0.608,454
2020-06-04T00:00:00.000Z,0.7,2.02,1.12,1,1.3,0.194,532
2020-06-05T00:00:00.000Z,0.4,12.97,2.17,1.6,2.52,0.924,451
2020-06-06T00:00:00.000Z,0,7.97,1.2,0.6,1.7,0.807,484
2020-06-07T00:00:00.000Z,0.3,2.93,0.87,0.67,1.1,0.371,490
2020-06-08T00:00:00.000Z,0.3,5.7,1.1,0.67,2.78,1.3,528
2020-06-09T00:00:00.000Z,0.5,5,1.4,1,2.43,0.976,491
2020-06-10T00:00:00.000Z,0.6,4.97,1.8,1.1,2.7,0.963,524
2020-06-11T00:00:00.000Z,0.3,1.73,0.56,0.5,0.7,0.271,560
2020-06-12T00:00:00.000Z,0.3,2.02,0.9,0.7,1.4,0.398,571
2020-06-13T00:00:00.000Z,0.8,2.33,1.33,1.2,1.84,0.386,545
2020-06-14T00:00:00.000Z,0.8,2.2,1.25,1.1,1.42,0.245,343
2020-06-15T00:00:00.000Z,1.12,3.3,2.1,1.9,2.4,0.389,559
2020-06-16T00:00:00.000Z,1.2,5.13,3.06,2.2,3.67,0.914,568
2020-06-17T00:00:00.000Z,1.1,5.63,2.47,2,3.23,0.873,547
2020-06-18T00:00:00.000Z,1.6,6.27,2.58,2.1,3.7,1.077,509
2020-06-19T00:00:00.000Z,2.1,3.93,2.9,2.67,3.13,0.343,484
2020-06-20T00:00:00.000Z,1.6,7.17,3.5,3,4.3,0.89,577
2020-06-21T00:00:00.000Z,1.6,5.23,3.4,2.9,3.87,0.719,578
2020-06-22T00:00:00.000Z,0.7,7.33,2.6,1.5,3.17,1.167,556
2020-06-23T00:00:00.000Z,1.08,12.2,2.2,1.8,3.47,1.388,565
2020-06-24T00:00:00.000Z,1,7.63,1.73,1.4,4.22,1.846,584
2020-06-25T00:00:00.000Z,1.02,4.2,1.6,1.4,2.29,0.696,563
2020-06-26T00:00:00.000Z,1.37,5.87,2.6,2.12,3.33,0.94,559
2020-06-27T00:00:00.000Z,2.29,8.47,4.12,3.4,6.1,1.546,519
2020-06-28T00:00:00.000Z,1.2,10.87,5.73,2.93,7.56,2.673,441
2020-06-29T00:00:00.000Z,0.53,4.59,1.37,1,2.29,0.89,474
2020-06-30T00:00:00.000Z,0.23,3.03,1,0.7,1.57,0.649,467
2020-07-01T00:00:00.000Z,0.1,3.7,0.5,0.33,0.9,0.628,455
2020-07-02T00:00:00.000Z,0.1,3.67,0.7,0.43,1.2,0.802,451
2020-07-03T00:00:00.000Z,0,1.63,0.4,0.2,0.7,0.338,468
2020-07-04T00:00:00.000Z,0,8.9,0.4,0.2,0.77,0.761,492
2020-07-05T00:00:00.000Z,0,15.03,1.29,0.9,1.7,0.908,474
2020-07-06T00:00:00.000Z,0,1.53,0.87,0.7,1,0.25,283
2020-07-07T00:00:00.000Z,0,1.17,0.2,0.1,0.3,0.148,440
2020-07-08T00:00:00.000Z,0,1.5,0.2,0.1,0.3,0.164,439
2020-07-09T00:00:00.000Z,0,1.6,0.3,0.2,0.5,0.212,471
2020-07-10T00:00:00.000Z,0.13,2.33,0.5,0.4,0.8,0.297,434
2020-07-11T00:00:00.000Z,0.1,1,0.4,0.3,0.5,0.162,332
2020-07-12T00:00:00.000Z,0,2.5,0.5,0.2,0.9,0.464,425
2020-07-13T00:00:00.000Z,0.03,3.57,0.99,0.47,1.32,0.71,420
2020-07-14T00:00:00.000Z,0.5,181.6,1.8,1.3,2.5,9.477,442
2020-07-15T00:00:00.000Z,0.82,4.53,2.17,1.53,3.2,0.938,354
2020-07-16T00:00:00.000Z,0.83,3.9,1.77,1.4,2.4,0.61,328
2020-07-17T00:00:00.000Z,0.5,7.5,1.49,0.9,2.25,1.57,492
2020-07-18T00:00:00.000Z,1.3,5,2.4,2,3.3,0.84,456
2020-07-19T00:00:00.000Z,1.5,5.4,2.63,2,4.2,1.087,162
2020-07-20T00:00:00.000Z,0.4,4.2,1,0.8,1.4,0.834,198
2020-07-21T00:00:00.000Z,0.1,1.3,0.4,0.2,0.77,0.318,263
2020-07-22T00:00:00.000Z,0,0.8,0.2,0.1,0.33,0.168,272
2020-07-23T00:00:00.000Z,0,1.8,0.21,0.1,0.4,0.243,304
2020-07-24T00:00:00.000Z,0,2.33,0.33,0.2,0.5,0.373,384
2020-07-25T00:00:00.000Z,0.3,1.93,0.6,0.5,0.97,0.312,82
2020-07-26T00:00:00.000Z,0.6,5.53,2.2,1.7,3.2,1.063,443
2020-07-27T00:00:00.000Z,0.73,6.43,2.2,1.2,3.1,1.307,278
2020-07-28T00:00:00.000Z,0.6,3.7,2.37,1.7,2.7,0.672,419
2020-07-29T00:00:00.000Z,0.1,6.43,0.9,0.6,1.3,0.62,333
2020-07-30T00:00:00.000Z,0.1,5.53,0.5,0.37,1,0.702,411
2020-07-31T00:00:00.000Z,0.5,2.4,1.07,0.9,1.33,0.299,419
2020-08-01T00:00:00.000Z,0.62,2.83,1.3,1,1.83,0.523,418
2020-08-02T00:00:00.000Z,0.8,3.53,1.8,1.4,2.29,0.631,413
2020-08-03T00:00:00.000Z,0,2.77,0.3,0.2,1,0.683,413
2020-08-04T00:00:00.000Z,0.1,2.5,0.87,0.56,1.12,0.407,471
2020-08-05T00:00:00.000Z,0.4,5.67,1.4,1.1,1.83,0.803,499
2020-08-06T00:00:00.000Z,0.82,7.93,1.7,1.4,2.4,1.371,380
2020-08-07T00:00:00.000Z,1.73,5.23,2.87,2.5,3.4,0.768,509
2020-08-08T00:00:00.000Z,2,6.2,3.2,2.65,4.09,0.966,468
2020-08-09T00:00:00.000Z,1.3,6.8,2.7,2,4.59,1.423,523
2020-08-10T00:00:00.000Z,0.5,2.7,1,0.83,1.33,0.406,522
2020-08-11T00:00:00.000Z,0.9,3.6,1.6,1.3,1.9,0.419,527
2020-08-12T00:00:00.000Z,1.4,4.4,2.2,1.9,2.75,0.674,524
2020-08-13T00:00:00.000Z,0.77,3.5,1.7,1.37,2.13,0.514,529
2020-08-14T00:00:00.000Z,1.77,4.57,2.6,2.29,3,0.54,468
2020-08-15T00:00:00.000Z,1.6,21.7,5.1,2.4,9.16,5.17,533
2020-08-16T00:00:00.000Z,1.8,8.9,3.2,2.54,4.5,1.565,527
2020-08-17T00:00:00.000Z,4.17,11.9,5.22,4.87,6.2,1.697,527
2020-08-18T00:00:00.000Z,3.3,12.9,6.09,4.8,10.6,2.882,520
2020-08-19T00:00:00.000Z,3,12.13,6.03,3.9,8.36,2.397,519
2020-08-20T00:00:00.000Z,0.9,6.87,3.3,1.8,4.01,1.329,517
2020-08-21T00:00:00.000Z,1.7,6.67,3.99,3.33,4.8,1.006,506
2020-08-22T00:00:00.000Z,1.07,4.5,2.4,1.9,2.97,0.65,465
2020-08-23T00:00:00.000Z,0.2,3.9,1.4,0.9,2.06,0.777,493
2020-08-24T00:00:00.000Z,0,1.12,0.2,0.1,0.3,0.166,432
2020-08-25T00:00:00.000Z,0,3.4,0.3,0.1,0.7,0.475,445
2020-08-26T00:00:00.000Z,0.1,1.4,0.5,0.4,0.67,0.261,441
2020-08-27T00:00:00.000Z,0.15,1.3,0.5,0.4,0.6,0.149,518
2020-08-28T00:00:00.000Z,0.1,1.3,0.5,0.4,0.6,0.212,456
2020-08-29T00:00:00.000Z,0.1,2.7,0.4,0.3,0.5,0.18,475
2020-08-30T00:00:00.000Z,0,10.02,0.5,0.12,0.7,0.723,405
2020-08-31T00:00:00.000Z,0,1.93,0.17,0.1,0.28,0.183,464
2020-09-01T00:00:00.000Z,0.1,11.6,0.6,0.4,0.8,0.607,403
2020-09-02T00:00:00.000Z,0.6,2.7,1.47,1.2,1.7,0.443,462
2020-09-03T00:00:00.000Z,1,4.53,2.17,1.6,2.52,0.663,466
2020-09-04T00:00:00.000Z,0.27,4.26,1.43,0.7,1.92,0.947,476
2020-09-05T00:00:00.000Z,0.1,2.87,0.6,0.4,1.33,0.579,478
2020-09-06T00:00:00.000Z,0,1.12,0.2,0.07,0.4,0.226,470
2020-09-07T00:00:00.000Z,0,1.97,0.23,0.1,0.67,0.441,439
2020-09-08T00:00:00.000Z,0.17,2.63,0.56,0.4,0.7,0.355,355
2020-09-09T00:00:00.000Z,0,2.87,0.3,0.1,1.1,0.73,407
2020-09-10T00:00:00.000Z,0,1.43,0.1,0,0.3,0.247,337
2020-09-11T00:00:00.000Z,0.2,3.37,1.33,0.6,2.13,0.797,313
2020-09-12T00:00:00.000Z,0.6,3.4,1.77,1.23,2.29,0.665,298
2020-09-13T00:00:00.000Z,0.1,3.57,1.3,1.07,1.67,0.655,361
2020-09-14T00:00:00.000Z,1.3,4.7,2.17,1.89,2.6,0.756,296
2020-09-15T00:00:00.000Z,1.33,5.3,2.9,2.35,4.09,0.997,253
2020-09-16T00:00:00.000Z,0.03,0.4,0.2,0.17,0.3,0.097,37
2020-09-17T00:00:00.000Z,0,1.03,0.2,0.17,0.3,0.155,152
2020-09-18T00:00:00.000Z,0.1,6.67,0.6,0.4,1,0.649,328
2020-09-19T00:00:00.000Z,0.2,4.33,0.6,0.5,1.02,0.642,316
2020-09-20T00:00:00.000Z,0.6,5,1.5,0.9,3.07,1.191,239
2020-09-21T00:00:00.000Z,0.63,2.7,1.42,1.1,1.93,0.482,225
2020-09-22T00:00:00.000Z,0.8,6.13,1.77,1.4,3.25,1.517,341
2020-09-23T00:00:00.000Z,4.5,15.83,6.73,5.93,7.7,1.78,442
2020-09-24T00:00:00.000Z,0.7,17.1,2.4,1.23,12.57,5.571,469
2020-09-25T00:00:00.000Z,0.5,2.7,1.17,1,1.43,0.443,345
2020-09-26T00:00:00.000Z,0,1.9,0.3,0.1,0.6,0.477,272
2020-09-27T00:00:00.000Z,1.23,7.57,4.23,3.8,5.3,1.237,231
2020-09-28T00:00:00.000Z,3.17,11.4,4.3,3.8,5.3,1.424,272
2020-09-29T00:00:00.000Z,1.12,7.67,2.97,2.29,4.33,1.304,262
2020-09-30T00:00:00.000Z,2.4,22.3,3.4,3,4.03,1.443,394
2020-10-01T00:00:00.000Z,0.9,10.13,4.07,2.49,5.97,2.062,308
2020-10-02T00:00:00.000Z,4.8,13.1,6.6,6.03,7.5,1.293,270
2020-10-03T00:00:00.000Z,5.73,11.7,8.52,7.83,9.19,1.082,266
2020-10-04T00:00:00.000Z,0.4,8.17,3.6,2.43,4.83,2.011,311
2020-10-05T00:00:00.000Z,0.5,6.37,2.47,1.1,3.85,1.615,324
2020-10-06T00:00:00.000Z,0.3,6.37,1.6,0.83,3.22,1.475,336
2020-10-07T00:00:00.000Z,1.2,8.17,2.8,2,3.97,1.826,333
2020-10-08T00:00:00.000Z,0.3,3.9,0.8,0.6,1.03,0.619,323
2020-10-09T00:00:00.000Z,0,1.57,0.56,0.4,0.73,0.259,351
2020-10-10T00:00:00.000Z,0.03,41.13,0.69,0.42,0.97,3.415,424
2020-10-11T00:00:00.000Z,0,12.83,0.6,0.2,0.97,1.031,427
2020-10-12T00:00:00.000Z,0,22.4,0.5,0.2,0.8,2.005,345
2020-10-13T00:00:00.000Z,0,8.47,0.2,0.1,0.4,1.004,418
2020-10-14T00:00:00.000Z,0,1.07,0.2,0.1,0.3,0.159,389
2020-10-15T00:00:00.000Z,0,2.13,0.27,0.2,0.5,0.47,408
2020-10-16T00:00:00.000Z,0,1.3,0.4,0,0.7,0.358,430
2020-10-17T00:00:00.000Z,0.1,2.5,0.73,0.43,1,0.394,434
2020-10-18T00:00:00.000Z,0,1,0.1,0.1,0.27,0.14,448
2020-10-19T00:00:00.000Z,0,3.67,0.3,0.2,0.5,0.484,433
2020-10-20T00:00:00.000Z,0.1,11.5,2.7,0.4,7.07,3.543,454
2020-10-21T00:00:00.000Z,0.9,12.6,5.77,2.9,8,3.044,434
2020-10-22T00:00:00.000Z,0.23,3.5,1.12,0.7,1.43,0.649,416
2020-10-23T00:00:00.000Z,0,8.69,0.2,0,0.4,0.517,419
2020-10-24T00:00:00.000Z,0,62.17,0.53,0.3,0.99,3.266,437
2020-10-25T00:00:00.000Z,0.4,30.23,1.4,0.8,4.9,2.83,474
2020-10-26T00:00:00.000Z,0.77,6.03,1.87,1.5,2.5,0.978,463
2020-10-27T00:00:00.000Z,0.63,34.6,2.29,1.4,5.5,2.799,442
2020-10-28T00:00:00.000Z,0.5,6.2,2,1.57,2.5,1.103,463
2020-10-29T00:00:00.000Z,0.5,3.63,1.17,1,1.37,0.311,464
2020-10-30T00:00:00.000Z,0.4,6.63,1.3,0.9,1.87,0.873,471
2020-10-31T00:00:00.000Z,0,17.3,0.42,0.2,1.47,1.456,478
2020-11-01T00:00:00.000Z,0.2,52.1,1.82,1.17,2.37,3.124,478
2020-11-02T00:00:00.000Z,0,5.23,0.83,0.4,1.6,0.826,453
2020-11-03T00:00:00.000Z,0.1,5.3,1.03,0.77,1.29,0.517,457
2020-11-04T00:00:00.000Z,0,3.6,0.93,0.4,1.33,0.708,359
2020-11-05T00:00:00.000Z,0,2.02,0.33,0.1,0.6,0.35,341
2020-11-06T00:00:00.000Z,0,4.07,0.4,0.2,0.73,0.446,338
2020-11-07T00:00:00.000Z,0.2,3.1,1.3,0.8,1.67,0.535,396
2020-11-08T00:00:00.000Z,0.7,6.4,1.7,1.4,2.02,0.631,348
2020-11-09T00:00:00.000Z,0.8,9.07,1.5,1.2,1.8,1.312,233
2020-11-10T00:00:00.000Z,0.37,3.8,1.8,1.17,2.33,0.788,327
2020-11-11T00:00:00.000Z,0.6,6.27,3.2,1.82,4.29,1.463,348
2020-11-12T00:00:00.000Z,0.53,8.27,1.52,1.2,2.37,0.97,290
2020-11-13T00:00:00.000Z,1.2,32.2,5.2,2.79,8.97,3.939,312
2020-11-14T00:00:00.000Z,0.9,5.07,1.9,1.43,2.6,0.88,338
2020-11-15T00:00:00.000Z,0.97,39.27,10.6,1.8,15.02,7.401,293
2020-11-16T00:00:00.000Z,0.5,10.97,1.47,1.2,2.67,3.183,281
2020-11-17T00:00:00.000Z,0,3.63,1.43,1.07,1.83,0.711,308
2020-11-18T00:00:00.000Z,0.03,3.47,1.3,0.8,1.9,0.701,363
2020-11-19T00:00:00.000Z,0,3.33,0.2,0.1,1.3,0.827,359
